customer_id,age,region,segment,salary,account_type,credit_history_depth,loan_amount,interest_income,fees_income,operational_cost,default_status,transaction_volume,digital_channel_usage,monthly_profit,risk_score
32,44,South,Corporate,1646517.41,Savings,5,446170.44,27909.63,14080.8,29055.78,0,371,0.2,44547.73,0.76
33,59,South,Retail,1859563.77,Savings,16,553979.49,73853.5,4729.75,27711.02,0,64,0.43,12212.01,0.08
34,45,South,SME,823286.99,Savings,3,297954.93,16531.45,5686.79,26557.04,1,333,0.76,26578.91,0.16
35,33,South,Retail,1629839.88,Savings,15,455075.64,69928.73,12396.84,13727.03,0,473,0.61,22541.54,0.73
36,32,North,SME,1018070.72,Savings,3,163553.79,2436.62,24043.89,25758.63,0,571,0.69,21925.85,0.43
37,64,South,SME,1797356.86,Current,14,304123.85,7270.12,19264.09,1737.36,0,67,0.28,20085.8,0.45
38,68,Central,SME,538077.42,Savings,16,621106.32,68374.0,12258.91,4710.97,0,188,0.48,6309.62,0.31
39,61,South,SME,2231026.76,Current,17,301800.06,50444.48,8509.21,12594.84,0,315,0.04,36564.05,0.61
40,69,North,Retail,754153.51,Savings,18,899743.08,59778.89,13776.79,14656.74,0,542,0.82,19823.48,0.19
41,20,South,Retail,951075.67,Savings,18,628406.96,16753.41,18734.18,8126.16,0,181,0.99,47718.4,0.63
42,54,South,Retail,192325.28,Savings,14,438649.02,42966.68,19619.82,10887.36,0,579,0.41,9344.46,0.17
43,68,North,Retail,323204.92,Business,18,38756.94,58977.54,8182.76,5134.45,0,433,0.01,32550.91,0.06
44,24,North,SME,1313861.66,Savings,15,499548.34,50185.13,18056.87,14827.28,0,77,0.17,46739.44,0.33
45,38,North,Retail,705602.06,Current,15,764776.24,37735.9,16478.94,23877.15,1,171,0.65,31490.21,0.23
46,26,South,Corporate,2096926.55,Savings,6,265557.6,76782.7,23981.9,19942.4,0,229,0.61,42920.01,0.89
47,56,South,Retail,85998.8,Current,15,806773.57,54092.59,23284.15,3501.43,0,581,0.79,40511.45,0.05
48,35,Central,SME,978780.42,Savings,18,251806.77,72620.06,19755.55,14781.17,0,585,0.25,14806.47,0.18
49,21,North,Retail,876496.59,Current,4,823746.39,58381.64,18112.53,21020.1,0,13,0.76,28006.82,0.55
50,42,Central,SME,97352.7,Current,8,85268.34,58837.08,6923.64,16037.89,1,240,0.69,3594.37,0.48
51,31,Central,Corporate,354702.58,Business,15,866183.71,6401.46,21164.53,11932.77,0,32,0.32,24453.92,0.05
52,67,South,Retail,1063424.55,Savings,3,499186.45,28757.17,10744.89,18770.86,0,31,0.55,7673.21,0.01
53,26,Central,Retail,1257518.23,Savings,15,296537.59,68669.55,6878.79,29068.57,0,554,0.15,35905.52,0.99
54,43,South,SME,1040509.88,Savings,13,265113.25,18608.31,9665.6,3118.76,1,200,0.45,24043.21,0.66
55,19,South,Retail,1350797.31,Business,9,432010.56,9240.47,20914.79,11883.48,0,207,0.88,17617.5,0.37
56,37,South,Retail,1508072.6,Current,2,999049.5,26088.48,3800.97,12376.19,0,89,0.42,9783.84,0.47
57,45,Central,Retail,74313.36,Current,8,220327.39,17635.03,11458.35,17435.93,0,34,0.84,49928.42,0.27
58,64,South,Retail,1187033.14,Savings,17,103216.65,74023.06,12359.7,4819.59,0,470,0.59,-1055.92,0.34
59,24,South,Retail,2410573.14,Savings,13,585035.17,69437.33,1012.08,5546.3,0,103,0.19,-2604.16,0.65
60,61,Central,Retail,1321629.09,Savings,1,488542.47,39974.66,4974.08,8775.23,0,194,0.58,6949.16,0.88
61,25,South,Retail,1709978.56,Business,2,524196.27,4907.51,20685.89,28689.34,0,16,0.51,48408.99,0.18
62,64,Central,Retail,814066.45,Current,15,666935.42,57164.99,20786.11,22103.02,0,34,0.4,48858.1,0.84
63,52,South,Corporate,1946278.88,Business,12,267144.07,49872.94,7381.14,19952.29,0,42,0.12,31021.03,0.12
64,31,South,Retail,1943657.63,Savings,14,910665.0,77644.37,21884.94,24563.64,0,576,0.42,43405.87,0.21
65,34,Central,Corporate,1327175.32,Current,2,435672.07,44716.26,19317.4,4089.02,0,298,0.07,6767.9,0.04
66,53,South,Retail,2441233.87,Current,18,129086.2,26911.5,10505.9,25822.18,0,364,0.1,48462.32,0.14
67,67,South,Retail,357598.03,Savings,7,742298.76,41521.74,18735.32,17966.53,0,184,0.42,2853.17,0.92
68,57,South,Retail,91521.78,Business,6,643104.35,78341.06,24037.23,10259.27,0,116,0.31,561.89,0.46
69,21,South,Retail,1936887.62,Business,14,315743.4,55708.99,11528.35,24530.9,0,448,0.93,1171.63,0.08
70,19,North,Retail,2027531.07,Business,8,621518.72,53758.09,6036.84,24136.17,0,25,0.38,26522.04,0.96
71,23,South,Retail,344507.71,Current,2,219861.96,19254.53,23551.23,25417.54,0,149,0.76,37953.59,0.88
72,59,North,Retail,700677.94,Savings,17,444839.36,59488.2,15133.23,3730.88,0,503,0.53,15166.69,0.75
73,21,South,Retail,93003.29,Savings,5,899412.52,60021.75,2721.1,29090.03,0,150,0.7,48784.28,0.93
74,46,Central,SME,768606.1,Business,14,133534.23,25383.12,14359.8,28800.9,0,445,0.26,18893.11,0.22
75,35,Central,Retail,1944197.59,Savings,3,386696.45,38697.11,12564.46,10916.85,0,425,0.94,3274.67,0.84
76,43,Central,Retail,1319003.29,Current,5,821142.42,23568.27,21404.16,2257.05,0,320,0.53,20628.17,0.69
77,61,South,SME,902834.2,Current,16,969490.9,20696.41,13314.31,5261.55,1,170,0.83,32347.04,0.87
78,51,South,Retail,960761.27,Current,18,453926.14,2071.69,6455.29,29787.08,0,207,0.37,40772.42,0.8
79,27,South,Retail,53316.38,Business,17,506999.62,22816.94,16923.54,17021.48,0,500,0.1,20232.26,0.35
80,53,North,Corporate,784511.29,Savings,11,572171.96,44317.6,13610.13,10891.67,0,472,0.67,27648.38,0.77
81,31,North,Retail,1633823.92,Savings,17,932348.14,128.1,5902.81,8859.62,0,389,0.01,9703.96,0.26
82,48,North,SME,2436776.39,Savings,16,858206.79,22657.53,14383.33,7932.65,0,318,0.48,30525.41,0.33
83,65,South,Corporate,2125299.03,Savings,2,170601.12,70512.83,20556.24,20025.34,1,259,0.19,49228.46,0.11
84,32,Central,Retail,107807.66,Savings,4,436757.82,47491.89,811.42,12755.82,0,27,0.63,-2302.05,0.94
85,25,North,Retail,2251473.48,Savings,7,464000.43,48629.03,15808.19,28972.7,0,343,0.98,43759.19,0.29
86,31,South,Retail,1968836.11,Business,2,789096.11,32269.14,8804.67,20610.14,0,497,0.46,25925.54,0.52
87,40,South,Retail,1961921.5,Business,6,602892.88,54117.77,7387.52,23823.72,0,515,0.82,8865.43,0.39
88,57,Central,Retail,1172089.61,Savings,17,654220.46,15194.62,9875.43,8994.42,0,370,0.51,47518.93,0.96
89,38,Central,SME,1025112.97,Savings,7,998199.91,65499.74,8616.36,2651.84,0,376,0.5,21584.49,0.34
90,33,North,Retail,792143.54,Business,5,74960.04,9335.13,20822.75,14788.34,0,223,0.93,13242.96,0.78
91,62,South,Retail,210952.4,Savings,5,223009.82,52480.11,6942.47,9643.07,0,479,0.89,4982.37,0.86
92,35,Central,Corporate,609176.64,Savings,16,407895.94,27291.95,18355.51,6301.87,0,427,0.79,8444.87,0.44
93,64,South,SME,654178.91,Savings,19,347782.4,59801.04,2442.09,28593.47,0,360,0.3,40806.7,0.38
94,41,South,Retail,1235988.82,Current,9,21645.56,43981.16,23789.77,13486.45,0,464,0.55,28792.55,0.75
95,43,South,Retail,1881238.8,Savings,5,91777.61,36188.24,15595.68,5488.85,0,507,0.22,45228.51,0.91
96,42,North,Retail,1210834.08,Business,8,680953.29,13553.79,17697.29,6199.92,0,31,0.44,7758.26,0.75
97,62,Central,Retail,191718.9,Savings,9,879324.46,50945.72,7521.18,8637.08,0,227,0.48,1662.62,0.23
98,58,Central,Retail,2396585.01,Current,5,514227.01,77981.59,10361.2,29979.69,0,152,0.83,-4665.19,0.89
99,46,South,Retail,2359674.58,Savings,10,539191.08,66048.27,5672.08,8259.94,0,428,0.9,22932.41,0.39
100,32,North,SME,1973714.38,Savings,2,255093.43,4800.66,23320.15,10065.41,0,355,0.41,49906.88,0.58
101,62,South,Retail,2478753.36,Current,9,767876.36,30098.35,12253.8,19882.05,0,190,0.02,33223.09,0.83
102,18,North,Retail,1383981.72,Current,11,751794.59,74046.64,15798.16,9030.65,0,419,0.86,11961.7,0.19
103,42,South,Retail,2408782.46,Current,4,588365.69,40243.5,18383.37,6709.39,1,433,0.17,43227.22,0.78
104,24,South,Retail,235232.35,Current,2,212664.29,52968.95,9340.54,5011.52,0,45,0.62,37994.72,0.6
105,26,South,SME,945917.83,Business,6,97018.22,73007.95,18030.53,9586.68,0,397,0.02,-4152.17,0.89
106,41,South,SME,602184.11,Business,14,64238.58,69903.58,16932.21,3445.7,0,83,0.4,39927.33,0.17
107,18,Central,SME,529791.06,Current,1,592696.07,40145.63,17670.92,853.8,0,548,0.99,11528.97,0.42
108,61,Central,Retail,394967.22,Savings,18,825035.32,35011.7,12281.82,24197.86,0,454,0.1,3232.04,0.83
109,25,South,Retail,1574913.42,Savings,7,858330.43,27175.41,9635.14,4395.48,0,478,0.42,7448.2,0.02
110,41,North,Retail,1964238.55,Savings,1,463622.07,57521.56,5629.85,23346.51,0,146,0.31,20771.89,0.11
111,28,South,Retail,1466831.08,Current,1,784271.3,22958.94,20633.2,23987.01,0,255,0.91,18367.74,0.99
112,68,Central,Retail,410058.64,Savings,1,946880.2,19991.01,15247.92,16276.21,0,298,0.87,10888.8,0.28
113,34,North,SME,2037253.24,Savings,4,275170.11,28499.99,11164.37,9497.55,0,140,0.24,4472.01,0.98
114,25,Central,Retail,1608089.03,Business,4,397960.35,14177.2,23605.5,4607.47,0,488,0.08,36922.69,0.18
115,52,South,Retail,1001005.98,Business,18,931478.99,55609.59,1291.19,22183.11,0,316,0.63,49456.04,0.36
116,52,North,Retail,1701619.22,Business,11,338230.97,49299.25,21269.28,18161.19,0,559,0.34,37778.54,0.75
117,50,Central,Retail,686767.2,Savings,1,913876.29,38630.28,24939.81,19766.97,0,50,0.67,11276.53,0.66
118,22,South,Retail,895720.91,Current,10,981044.86,31226.06,22184.86,557.47,0,240,0.03,8464.49,0.58
119,59,South,Corporate,2297840.32,Savings,9,661810.73,72725.0,20279.87,27847.26,1,52,0.13,6971.62,0.53
120,56,Central,SME,761736.04,Savings,4,816890.29,2329.9,9420.22,2268.82,0,202,0.69,2518.23,0.84
121,58,Central,Corporate,1201471.26,Savings,6,749545.56,61528.62,5859.72,11194.13,0,88,0.21,25323.18,0.23
122,45,Central,Retail,2230845.79,Savings,16,699534.26,72152.77,18397.78,12260.54,0,547,0.86,28297.02,0.44
123,24,North,Retail,1783917.31,Savings,2,306931.07,35708.37,7683.93,340.26,1,165,0.06,33802.65,0.16
124,26,Central,Retail,202397.9,Business,18,57094.34,44055.24,4483.39,15063.55,0,432,0.22,32411.74,0.6
125,25,South,Retail,410892.46,Savings,10,343051.73,75557.1,19684.49,22658.43,0,75,1.0,11078.33,0.25
126,29,South,SME,69211.9,Current,17,666935.99,16982.2,7882.34,24751.08,0,524,0.43,13167.11,0.33
127,51,South,Retail,1595758.39,Current,13,102529.2,41610.79,22869.6,26418.09,0,56,0.7,32483.3,0.47
128,50,Central,Retail,1146799.89,Savings,18,11917.98,37977.69,21031.75,14785.25,0,49,0.18,14219.62,0.03
129,65,South,Retail,378973.38,Savings,13,139692.37,20671.41,21206.24,19029.89,0,297,0.61,6694.28,0.09
130,40,Central,Retail,2396938.6,Savings,17,715735.93,65487.46,19312.09,2661.74,0,469,0.73,15588.49,0.69
131,41,Central,SME,1347666.32,Current,5,972793.7,71968.05,22033.95,14794.74,0,554,0.31,9964.63,0.43
132,54,North,Retail,642638.57,Savings,11,983064.7,62554.61,20163.1,4898.03,0,384,0.83,-142.8,0.86
133,52,South,Retail,1276478.75,Savings,7,493979.15,15628.72,15102.53,11278.4,0,482,0.6,40657.64,0.69
134,61,North,Retail,1715069.82,Savings,10,869352.3,6939.89,7465.99,10080.37,0,266,0.39,41921.13,0.01
135,57,South,Retail,236786.08,Current,17,736826.46,48435.56,22216.41,12879.16,0,584,0.56,7086.27,0.62
136,39,North,SME,723024.35,Business,15,501040.24,4567.58,21031.03,17277.61,0,183,0.58,-1437.53,0.09
137,44,South,SME,2027065.45,Savings,18,572760.53,53826.07,11874.7,27115.44,1,361,0.17,35635.51,0.78
138,52,South,Corporate,1176178.93,Current,19,137227.15,42433.94,1073.06,12016.19,0,423,0.4,6634.07,0.99
139,18,Central,SME,1389114.0,Current,2,937661.46,53022.86,15999.74,29439.6,0,205,0.34,16638.95,0.53
140,52,South,Retail,1110399.21,Business,4,351929.77,47213.66,1359.86,22843.13,0,17,0.4,-1472.56,0.68
141,54,South,SME,157554.86,Business,3,446149.26,33816.21,23164.37,15490.99,0,447,0.76,7444.83,0.24
142,64,Central,Retail,456086.96,Current,7,671660.23,16070.17,24044.62,19427.59,1,290,0.48,38609.63,0.44
143,31,Central,Retail,1141577.01,Current,18,333902.47,24456.17,4818.3,3336.06,0,262,0.94,39241.8,0.86
144,20,Central,SME,562504.39,Business,10,254259.16,41960.05,16942.1,25382.29,0,574,0.29,6389.67,0.17
145,18,Central,Retail,172448.62,Savings,7,631049.39,52149.45,2397.5,17596.02,0,552,0.42,13475.26,0.27
146,22,Central,Corporate,2116941.68,Savings,8,24984.08,62358.64,18264.97,29586.2,1,494,0.79,2383.11,0.45
147,43,South,Retail,2453921.7,Savings,6,720725.11,61373.66,8747.46,19201.93,0,502,0.55,-920.51,0.71
148,31,South,Retail,1993200.04,Business,1,514023.37,77815.1,17058.15,25073.11,0,337,0.55,49569.44,0.38
149,56,South,SME,2141773.06,Business,4,605753.73,22867.32,9384.63,24052.95,0,566,0.05,31057.67,0.93
150,44,North,SME,642843.97,Savings,14,631880.16,5688.86,3724.63,10560.2,0,36,0.4,24815.31,0.09
151,26,Central,Retail,2403536.09,Current,17,527050.16,27652.55,10212.14,8010.44,0,47,0.27,37102.42,0.37
152,32,South,Retail,532467.98,Savings,18,582533.78,59463.56,2905.57,13085.66,1,355,1.0,41204.24,0.71
153,32,South,Retail,2381003.04,Savings,11,683788.2,35048.93,14464.39,14177.07,1,338,0.31,39369.31,0.23
154,43,North,Retail,2487307.27,Business,14,753118.85,65423.07,1119.69,7430.52,0,563,0.88,-4090.33,0.66
155,59,South,Retail,1793720.87,Savings,9,727452.39,43946.11,13230.26,26869.56,0,274,0.68,5274.43,0.16
156,30,Central,SME,2453802.14,Savings,15,869616.46,74383.34,22170.58,16413.67,0,417,0.34,31019.79,0.06
157,68,Central,Retail,1445372.46,Current,12,189443.43,75829.08,20963.04,29359.8,1,579,0.54,15666.76,0.12
158,49,Central,SME,685877.37,Current,10,401147.97,5544.36,22081.26,24357.53,0,23,0.84,49036.55,0.93
159,56,South,Retail,1120639.92,Savings,19,947796.07,36513.08,23059.02,16804.43,0,351,0.88,31597.26,0.55
160,66,North,Retail,1504224.29,Current,19,396590.57,48775.12,2702.74,28427.1,1,41,0.16,47610.19,0.8
161,69,North,SME,229049.83,Current,6,124870.08,20469.8,3305.81,15294.78,0,96,0.34,6079.56,0.33
162,49,Central,Retail,1574741.0,Savings,6,525445.13,32566.14,13969.47,26647.06,0,189,0.34,42517.64,0.59
163,21,Central,Retail,2453885.7,Savings,8,109490.97,54214.52,22359.92,10936.9,0,32,0.04,12674.38,0.49
164,47,North,Retail,515763.74,Current,1,202853.24,18138.74,24361.3,11545.68,0,552,0.6,49426.06,0.95
165,54,Central,Corporate,1991858.03,Savings,17,998318.76,48158.51,1251.92,12718.48,0,376,0.85,3672.88,0.75
166,40,South,SME,2274352.04,Business,17,541362.64,55795.83,8958.77,16534.78,0,534,0.38,23398.69,0.73
167,56,Central,Retail,2362068.9,Business,15,284058.39,7239.7,5401.07,16738.66,0,349,0.74,38606.45,0.05
168,62,Central,Retail,2402332.23,Business,7,994774.95,39802.35,18923.55,15043.05,0,423,0.63,18795.34,0.55
169,32,South,Retail,1327576.11,Savings,19,966558.92,21046.4,16040.83,9388.23,0,200,0.38,20744.62,0.47
170,60,Central,SME,2444404.37,Business,3,440739.04,57950.91,3085.21,27838.03,0,82,0.14,49249.57,0.93
171,46,North,SME,1905410.01,Savings,11,260403.11,15164.44,12139.7,17781.01,1,171,0.71,18391.95,0.26
172,53,North,Retail,446095.02,Savings,19,838399.64,71379.03,17167.47,12409.85,0,94,0.85,28223.97,0.27
173,30,South,Retail,1218405.26,Savings,9,715620.72,34475.31,19497.23,19639.96,0,268,0.69,-2000.32,0.41
174,49,South,Retail,1809911.38,Savings,10,686941.44,15840.24,599.31,23108.61,0,476,0.02,41321.55,0.24
175,24,North,SME,655983.77,Current,2,893113.74,35041.74,22272.69,28833.62,1,212,0.22,30649.24,0.13
176,68,North,SME,1619507.2,Savings,1,689417.13,32699.5,14275.11,15136.61,0,275,0.07,17221.11,0.86
177,39,South,Retail,1683171.17,Savings,16,283797.94,34313.52,20316.54,3629.33,0,267,0.57,-4110.68,0.56
178,45,North,Retail,448614.37,Current,18,693863.16,46844.9,20217.66,13390.74,1,510,0.76,27541.79,0.86
179,19,North,Retail,1434459.02,Savings,17,305813.51,41693.9,4827.33,14525.43,0,516,0.11,-4303.82,0.83
180,59,Central,Corporate,1940485.93,Current,6,759238.98,11982.17,2843.29,26940.72,1,580,0.84,-4933.8,0.28
181,62,Central,Retail,1272294.38,Savings,14,619747.85,5246.33,18060.05,12025.58,1,528,0.56,28885.42,0.55
182,23,South,SME,79652.64,Business,15,77411.55,58353.24,3995.03,28613.73,1,316,0.69,5395.94,0.08
183,45,South,Retail,72144.25,Business,14,512835.36,44777.39,21263.44,14708.42,0,178,0.97,5553.82,0.92
184,45,South,Retail,924721.89,Savings,3,343300.97,28720.06,18182.12,29221.28,0,435,0.08,30929.94,0.4
185,61,North,Retail,2319175.47,Savings,19,328570.63,64668.63,21061.45,543.49,0,467,0.9,-2046.65,0.39
186,61,South,Retail,610258.11,Savings,12,602256.3,31044.68,7545.42,26994.82,0,105,0.13,12237.31,0.3
187,37,South,Retail,1604191.04,Business,2,322324.82,63677.21,7983.29,27954.28,0,20,0.39,3218.75,0.46
188,47,South,SME,594085.88,Savings,3,776893.75,24460.49,16813.42,28842.32,0,262,0.85,26909.7,0.25
189,28,Central,Retail,838091.47,Savings,18,70791.44,5827.62,883.0,688.37,0,248,0.91,31397.08,0.37
190,45,North,Retail,2127703.12,Savings,1,660388.25,74611.18,18189.77,5399.51,0,352,0.51,34662.47,0.8
191,42,South,Retail,1835710.53,Savings,6,809194.8,31564.09,20911.0,19716.81,0,253,0.59,9037.72,0.83
192,56,South,Corporate,283728.23,Savings,5,672831.69,63415.41,10437.57,1056.54,0,109,0.71,-91.26,0.3
193,50,Central,SME,1100319.95,Business,1,497229.2,22331.53,19145.48,2189.19,0,291,0.83,-672.4,0.47
194,18,South,Retail,121465.92,Savings,19,950307.01,51709.21,4447.81,6866.04,0,173,0.12,18438.34,0.87
195,44,South,Corporate,1228180.86,Savings,1,299938.49,69864.87,8124.28,15519.46,0,424,0.81,47021.44,0.05
196,69,South,Retail,1672963.33,Business,16,19167.89,3331.52,24360.19,16513.31,0,51,0.48,6975.1,0.89
197,30,South,Retail,340331.43,Business,12,431989.37,66450.86,24659.57,1317.56,0,47,0.45,9120.79,0.22
198,58,South,SME,757768.1,Savings,8,33011.94,45706.64,12863.87,5359.91,0,325,0.42,548.88,0.68
199,20,South,SME,1024699.73,Savings,16,953936.75,48597.74,23363.32,15141.26,0,225,0.51,28306.37,0.58
200,56,South,SME,2302851.01,Savings,1,209918.05,41852.64,13115.99,17940.04,0,517,0.95,32393.01,0.55
201,23,North,Retail,2483474.79,Business,4,788927.02,69958.01,7360.54,4707.53,0,445,0.55,30361.22,0.86
202,25,South,Retail,160032.68,Savings,10,774572.08,3474.67,6745.79,12145.59,0,148,0.95,42362.16,0.1
203,44,Central,Corporate,1914469.41,Business,11,217728.9,20882.27,23244.69,27160.72,0,32,0.18,21753.42,0.35
204,26,Central,Retail,960723.96,Current,17,621226.53,70061.0,4393.92,29967.31,0,557,0.72,2395.14,0.54
205,54,South,Retail,1011522.56,Current,7,48078.97,60187.66,14532.85,29620.27,0,171,0.81,10917.28,0.81
206,50,Central,Retail,1897949.18,Savings,12,483574.59,1411.61,13932.57,26485.73,1,590,0.68,31433.65,0.22
207,68,South,Retail,2300144.76,Savings,7,14647.13,41360.5,18516.58,12021.4,0,253,0.61,28721.71,0.8
208,59,North,Retail,2379775.06,Savings,12,921143.88,42365.81,12531.15,20691.26,1,361,0.56,24205.17,0.4
209,61,South,Corporate,1463950.34,Savings,15,976086.02,32070.57,6879.91,12672.79,0,115,0.86,32563.04,0.19
210,41,South,Retail,924946.84,Current,2,222282.77,23791.47,4317.97,19561.25,0,238,0.82,30056.5,0.76
211,32,South,Retail,1979495.26,Business,14,208106.03,54537.99,15558.39,9490.14,0,28,0.12,43472.87,0.09
212,49,North,Retail,664953.39,Current,13,753720.18,16623.24,18002.87,18304.21,0,30,0.85,27230.9,0.51
213,49,Central,SME,1431981.37,Current,4,253379.4,63915.88,14281.08,15855.63,0,385,0.41,37823.07,0.06
214,41,Central,Retail,928517.23,Savings,14,895076.56,64242.97,18484.95,1027.06,0,350,0.25,8678.89,0.36
215,58,South,Retail,1658746.13,Savings,14,573929.14,33220.92,3623.88,23783.88,0,382,0.87,32300.04,0.6
216,69,Central,SME,638977.34,Savings,16,350777.62,22683.84,22073.51,653.37,0,526,0.43,44620.68,0.56
217,66,South,SME,519402.72,Current,7,832693.75,22710.25,14601.65,9006.73,0,21,0.81,16215.28,0.4
218,66,North,SME,2299685.76,Business,19,493406.7,38583.31,3258.41,475.94,0,249,0.26,37850.73,0.43
219,69,South,Corporate,299419.02,Current,2,911632.91,57566.34,11601.94,11473.18,1,543,0.0,34863.41,0.23
220,29,South,Retail,1289596.87,Savings,10,928014.24,28709.5,21135.31,2175.87,0,587,0.5,-1726.06,0.46
221,56,South,SME,591089.32,Savings,18,165420.15,48803.47,22449.3,27431.28,0,206,0.1,26982.96,0.95
222,19,South,Retail,145378.41,Current,17,2323.41,30598.76,6689.77,12645.68,0,252,0.75,2160.41,0.85
223,20,Central,SME,138246.1,Savings,5,983930.94,24361.86,17810.52,13947.02,0,122,0.28,48202.55,0.15
224,66,South,SME,479293.34,Business,12,906137.54,1988.76,2589.63,10690.55,0,13,0.44,39627.41,0.03
225,54,Central,SME,2173587.37,Business,6,55445.24,313.13,935.29,18936.93,0,27,0.09,1034.81,0.93
226,66,South,SME,742072.92,Current,9,833034.26,18176.61,14053.93,23596.92,0,244,0.29,1696.36,0.53
227,34,Central,Retail,2378624.97,Savings,1,457804.93,32512.5,17401.21,19549.96,1,589,0.78,27696.06,0.54
228,66,South,Retail,1474974.62,Savings,15,258961.61,68100.89,19915.09,22521.75,0,31,0.15,13968.9,0.78
229,19,South,Corporate,1119704.76,Savings,6,878746.52,63878.74,8571.38,27207.42,1,85,0.65,-3080.18,0.31
230,19,Central,Corporate,1471217.64,Savings,19,196667.23,21373.22,262.48,25947.33,1,203,0.92,24790.28,0.48
231,45,South,Retail,1315911.04,Savings,18,947300.0,19563.24,12040.03,20319.54,0,559,0.68,16331.48,0.97
232,40,South,Retail,1909001.82,Current,6,205621.49,18185.77,494.75,6674.75,0,96,0.81,559.21,0.67
233,54,North,Retail,742115.36,Current,13,613683.19,27138.99,2390.41,19239.77,0,88,0.11,39105.62,0.15
234,49,North,SME,914973.46,Savings,1,223086.33,39855.9,8234.56,15330.67,0,304,0.25,45329.22,0.13
235,50,South,SME,2240531.04,Savings,13,545668.66,35093.42,10985.58,21601.41,0,300,0.89,36612.67,0.2
236,18,South,Retail,2368818.46,Savings,7,683975.13,17461.86,7058.79,25038.07,0,458,0.72,40233.23,0.77
237,36,Central,Retail,2236767.66,Savings,15,190227.93,10436.11,14588.45,22358.83,0,285,0.64,6906.98,0.3
